Repeticao,Parcela,Velocidade(KM/h),DS(cm),Classificação
1,1,1.08,11.65,Aceitável
1,2,1.08,5.52,Aceitável
1,3,1.08,1.99,Duplo
1,4,1.08,3.40,Duplo
1,5,1.08,4.64,Aceitável
1,6,1.08,6.32,Aceitável
1,7,1.08,4.87,Aceitável
1,8,1.08,11.73,Aceitável
1,9,1.08,3.12,Duplo
1,10,1.08,11.60,Aceitável
1,11,1.08,4.94,Aceitável
1,12,1.08,6.68,Aceitável
1,13,1.08,4.16,Duplo
1,14,1.08,2.93,Duplo
1,15,1.08,3.01,Duplo
1,16,1.08,5.08,Aceitável
1,17,1.08,3.80,Duplo
1,18,1.08,7.33,Aceitável
1,19,1.08,6.58,Aceitável
1,20,1.08,1.76,Duplo
1,21,1.08,10.04,Aceitável
1,22,1.08,11.44,Aceitável
1,23,1.08,2.77,Duplo
1,24,1.08,6.05,Aceitável
1,25,1.08,3.27,Duplo
1,26,1.08,11.22,Aceitável
1,27,1.08,7.96,Aceitável
1,28,1.08,8.96,Aceitável
1,29,1.08,8.62,Aceitável
1,30,1.08,5.19,Aceitável
1,31,1.08,6.78,Aceitável
1,32,1.08,2.24,Duplo
1,33,1.08,6.53,Aceitável
1,34,1.08,1.61,Duplo
1,35,1.08,6.03,Aceitável
1,36,1.08,5.46,Aceitável
1,37,1.08,9.53,Aceitável
1,38,1.08,10.59,Aceitável
1,39,1.08,6.33,Aceitável
1,40,1.08,6.79,Aceitável
1,41,1.08,11.45,Aceitável
1,42,1.08,2.65,Duplo
1,43,1.08,8.20,Aceitável
1,44,1.08,11.96,Aceitável
1,45,1.08,2.60,Duplo
1,46,1.08,8.60,Aceitável
1,47,1.08,2.06,Duplo
1,48,1.08,5.44,Aceitável
1,49,1.08,11.27,Aceitável
1,50,1.08,1.53,Duplo
1,51,1.08,9.14,Aceitável
1,52,1.08,9.86,Aceitável
1,53,1.08,3.14,Duplo
1,54,1.08,2.43,Duplo
1,55,1.08,9.50,Aceitável
1,56,1.08,10.72,Aceitável
1,57,1.08,9.34,Aceitável
1,58,1.08,4.10,Duplo
1,59,1.08,9.15,Aceitável
1,60,1.08,7.42,Aceitável
1,61,1.08,13.06,Aceitável
1,62,1.08,9.59,Aceitável
1,63,1.08,10.28,Aceitável
1,64,1.08,7.59,Aceitável
1,65,1.08,11.71,Aceitável
1,66,1.08,2.45,Duplo
1,67,1.08,10.44,Aceitável
1,68,1.08,13.92,Nulo
1,69,1.08,12.42,Aceitável
1,70,1.08,12.48,Aceitável
1,71,1.08,2.12,Duplo
1,72,1.08,6.07,Aceitável
1,73,1.08,13.96,Nulo
1,74,1.08,5.50,Aceitável
1,75,1.08,5.31,Aceitável
1,76,1.08,12.08,Aceitável
1,77,1.08,3.88,Duplo
1,78,1.08,8.42,Aceitável
1,79,1.08,12.77,Aceitável
1,80,1.08,2.34,Duplo
1,81,1.08,3.98,Duplo
1,82,1.08,8.04,Aceitável
1,83,1.08,2.00,Duplo
1,84,1.08,5.87,Aceitável
1,85,1.08,9.31,Aceitável
1,86,1.08,5.86,Aceitável
1,87,1.08,7.02,Aceitável
1,88,1.08,4.71,Aceitável
1,89,1.08,3.75,Duplo
1,90,1.08,8.88,Aceitável
1,91,1.08,5.08,Aceitável
1,92,1.08,6.57,Aceitável
1,93,1.08,2.25,Duplo
1,94,1.08,4.86,Aceitável
1,95,1.08,7.99,Aceitável
1,96,1.08,1.93,Duplo
1,97,1.08,4.40,Duplo
1,98,1.08,5.06,Aceitável
1,99,1.08,1.59,Duplo
1,100,1.08,7.58,Aceitável
1,101,1.08,7.97,Aceitável
1,102,1.08,8.29,Aceitável
1,103,1.08,5.91,Aceitável
